,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_02088,755,1558,1707,152,128,210,194,347,248,10516,7791,12153,22177,17349,18952,"fig|536231.75.peg.2206|RIL182_02088   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02089,2368,3584,4958,1291,1535,1312,874,1770,776,41905,33245,44625,78658,56281,70986.098,"fig|536231.75.peg.2207|RIL182_02089   Electron transport complex protein RnfB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02090,1331,1497,1969,565,610,658,297,428,178,9961,8110,11525,24807.927,18066,21802,"fig|536231.75.peg.2208|RIL182_02090   Electron transport complex protein RnfA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02091,1701,1665,2120,569,826,729,148,397,73,3564,2868,4793,17112,11270,14088,"fig|536231.75.peg.2209|RIL182_02091   Electron transport complex protein RnfE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02092,1075,1094,1443,447,610,539,70,106,46,1781,1813,2182,11705,8887,9549,"fig|536231.75.peg.2210|RIL182_02092   Electron transport complex protein RnfG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02093,2157,2220,2666,965,1081,1006,250,336,218,4794,4552,6220,18687,13257,15673.567,"fig|536231.75.peg.2211|RIL182_02093   Electron transport complex protein RnfD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02094,2664,3358,4630,1194,1533,1262,329,861,360,10222,8858,13113,28502,21252,25785,"fig|536231.75.peg.2212|RIL182_02094   Electron transport complex protein RnfC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02095,70,86,125,13,17,1,14,0,0,156,98,93,294,268,370,"fig|536231.75.peg.2213|RIL182_02095   Possible elongation subunit of DNA-dependent DNA polymerase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02096,551,767,860,84,143,148,102,149,66,2878,2398,3364,8371,6843,7092,"fig|536231.75.peg.2214|RIL182_02096   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02097,1514,1915,2647,288,267,255,337,399,311,13613,10347,16381,20693,15972,19170,"fig|536231.75.peg.2215|RIL182_02097   Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02098,3435,5925,9042,985,1056,1076,1076,1484,972,31449,25146,34462,41051,33939.797,37336.834,"fig|536231.75.peg.2216|RIL182_02098   SSU ribosomal protein S1p   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02099,416,1041,1356,284,224,213,167,65,52,1781,2516,1927,11017,9819,9207.106,"fig|536231.75.peg.2217|RIL182_02099   4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02100,229,307,535,63,60,91,79,96,75,1654,1471,1755,5865,4380.203,4359,"fig|536231.75.peg.2218|RIL182_02100   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02101,368,501,944,90,146,133,114,60,48,1753,2104,2132,5194,4405,4976,"fig|536231.75.peg.2219|RIL182_02101   Uncharacterized flavin-containing protein YtfP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02102,207,310,397,59,96,123,47,28,32,727,528,821,4750,3542,4370,"fig|536231.75.peg.2220|RIL182_02102   Transcriptional regulator, RpiR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02103,135,176,200,30,62,47,0,61,12,915,763,987,1796,1502,1641,"fig|536231.75.peg.2221|RIL182_02103   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02104,3762,5191,8143,926,1030,1117,390,392,218,8213,7673,9461,31225,24686,30134,"fig|536231.75.peg.2222|RIL182_02104   Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3); Methylmalonyl-CoA decarboxylase alpha chain (EC 4.1.1.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02105,4278.786,4783.613,7329.759,678,820,897.309,342.013,463.769,217.83,7115.821,6539.352,9509.515,26227.101,16844.737,22557.367,"fig|536231.75.peg.2223|RIL182_02105   Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02106,409.214,503.387,755.241,135,146,125.691,43.987,51.231,55.926,1613.575,1575.648,1668.029,5116.899,3527.263,3645.102,"fig|536231.75.peg.2224|RIL182_02106   Biotin carboxyl carrier protein = methylmalonyl-CoA decarboxylase; Biotin carboxyl carrier protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02107,1696,2451,3443,364,459,426,241,392,144.245,10664.604,9711,13136.456,19106,15269,18054.531,"fig|536231.75.peg.2225|RIL182_02107   Methylmalonyl-CoA decarboxylase, delta-subunit (EC 4.1.1.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02108,4394,6844,10324,914,1008,995,190,411,152,9907,7823,11057,32841,25259,29980.443,"fig|536231.75.peg.2226|RIL182_02108   Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02109,38,38,89,18,22,13,19,19,36,301,334,353,1203,1014,1045,"fig|536231.75.peg.2227|RIL182_02109   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02110,27,93,142,30,23,34,18,33,23,630,719,798,1964,1411,1522,"fig|536231.75.peg.2228|RIL182_02110   Segregation and condensation protein B   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02111,92,120,128,35,68,42,87,101,65,1695,1216,2156,3008,2131,2461,"fig|536231.75.peg.2229|RIL182_02111   Segregation and condensation protein A   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2230   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,6,10,5,0,0,0,0,0,14,29,0,37,42,62,"fig|536231.75.peg.2230   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02112,4,0,4,0,0,0,0,0,0,0,0,0,5,7,5,"fig|536231.75.peg.2231|RIL182_02112   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02113,399,759,1096,52,89,83,123,149,88,2833,2349,2772,4119,3282,3920,"fig|536231.75.peg.2232|RIL182_02113   Cardiolipin synthase, bacterial type ClsA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02114,8,25,28,3,12,8,41,40,12,651,639,735,1232,867,999,"fig|536231.75.peg.2233|RIL182_02114   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02115,298,312,404,22,15,8,0,7,0,68,56,84,422,249,312,"fig|536231.75.peg.2234|RIL182_02115   protein of unknown function DUF1538   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02116,101,80,115,3,7,7,6,14,0,11,33,59,134,79,104,"fig|536231.75.peg.2235|RIL182_02116   Putative regulatory protein, P-II family / Putative regulatory protein, P-II family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02117,2486,3222,5815.179,753,837,741,233,477,117,4742,3953,5789,15549,12626,14320,"fig|536231.75.peg.2236|RIL182_02117   Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02118,4079,10496,25015,943,1072,823,124,114,129,3757,5142,3907,12356,9076,10269,"fig|536231.75.peg.2237|RIL182_02118   SSU ribosomal protein S15p (S13e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02119,1536,1468,2543,1033,824,761,503,791,510,18342,16360,19674,27411,24555,27132.787,"fig|536231.75.peg.2238|RIL182_02119   putative lipoprotein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02120,242,417,514,115,177,145,288,224,90,3631,3655,4142,8461,6271,7693,"fig|536231.75.peg.2239|RIL182_02120   FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02121,221,218,356,65,69,73,45,90,42,1253,1159,1494,5273,4303,5099,"fig|536231.75.peg.2240|RIL182_02121   tRNA pseudouridine(55) synthase (EC 5.4.99.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02122,560,1023,1527,165,185,198,174,294,118,4189,3750,5137,14472,11418,13965,"fig|536231.75.peg.2241|RIL182_02122   3'-to-5' oligoribonuclease A, Bacillus type   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02123,233,294,406,51.866,128,74,154,126,155,1890.096,1592,2455,6669,6800,7704.519,"fig|536231.75.peg.2242|RIL182_02123   Ribosome-binding factor A   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02124,1734,2703,4644,614.134,723,658,646,863,435,13506.904,11604,15777,51039,38211,43477.481,"fig|536231.75.peg.2243|RIL182_02124   Translation initiation factor 2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02125,32,105,197.999,30,51,11,43,25,16,660.999,1072.02,927,2469.405,2284.01,1960.107,"fig|536231.75.peg.2244|RIL182_02125   Ribosomal protein L7Ae family protein YlxQ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02126,12,58,79.001,16,26,31,14,0,0,188.001,223.98,229,1914.595,1563.99,1426.893,"fig|536231.75.peg.2245|RIL182_02126   COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02127,747,947,1591,180,252,202,235,278,99,6197,5094,6691.918,16251.175,12350.878,13636,"fig|536231.75.peg.2246|RIL182_02127   Transcription termination protein NusA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02128,73,202,333,67,32,41,38,9,0,562,549,437.082,1763.825,1716.122,1556,"fig|536231.75.peg.2247|RIL182_02128   Bacterial ribosome SSU maturation protein RimP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02132,1988,4171,4915,364,450,326,245,117,236,4762,5052,5501,8682,6843,7121.045,"fig|536231.75.peg.2248|RIL182_02132   Putative FabK-like enoyl-[acyl-carrier-protein] reductase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02133,475,725,1091,295,292,366,212,428,174,7075,6051,9387,32919,24978,30062,"fig|536231.75.peg.2249|RIL182_02133   UDP-glucose 4-epimerase (EC 5.1.3.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02134,139,186,249,15,15,17,68,59,48,916,977,1263,452,297,398,"fig|536231.75.peg.2250|RIL182_02134   MSM (multiple sugar metabolism) operon regulatory protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02135,190,279,494.018,238,285,274,381,629,340,20136,18772,25830.688,57300.236,43775.298,51620.354,"fig|536231.75.peg.2251|RIL182_02135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02136,574,3234,4835.972,941.009,577,490,684.78,486.269,406,22229.183,26573.049,19126.894,88199.866,90980.578,81264.663,"fig|536231.75.peg.2252|RIL182_02136   LSU ribosomal protein L20p   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02137,90,278,391.23,220.893,132.632,156.986,848.72,492.498,689.323,21301.092,20050.665,21925.318,36161.842,45086.214,41004.455,"fig|536231.75.peg.2253|RIL182_02137   LSU ribosomal protein L35p   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02138,760,1936,4116.78,1173.098,976.368,1127.014,2300.5,2941.232,2177.677,105864.726,93200.257,117095.814,194102.05,165433.317,187517.979,"fig|536231.75.peg.2254|RIL182_02138   Translation initiation factor 3   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02139,7690,11396.778,13333.37,1149,1429.012,1204.674,1187.261,1841,1063.01,38526.025,28789.988,45511.67,94076.087,71167.153,83085.133,"fig|536231.75.peg.2255|RIL182_02139   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02140,2294,4033.222,4240.63,212,282.988,264.326,163.739,227,144.99,6670.33,4663.041,6701.33,8551.685,6054.958,7632.867,"fig|536231.75.peg.2256|RIL182_02140   Positive regulator of CheA protein activity (CheW)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02141,133,136,199,22,27,16,0,0,0,36,65,71,353,214,297,"fig|536231.75.peg.2257|RIL182_02141   FIG00031715: Predicted metal-dependent phosphoesterases (PHP family)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02142,229,369,370,31,30,47,0,26,20,125,172,117,727.138,710,619,"fig|536231.75.peg.2258|RIL182_02142   Putative uncharacterized protein BCG_3875c   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02143,816,898,1339,137,215,154,58,181,58,976,919,1476,3390,2786,3272,"fig|536231.75.peg.2259|RIL182_02143   Polyphosphate kinase (EC 2.7.4.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02144,518,694,875,62,146,104,11,51,0,530,314,488,1785,1324,1368,"fig|536231.75.peg.2260|RIL182_02144   Exopolyphosphatase (EC 3.6.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02145,561,616,763,71,88,93,47,9,16,278,339,505,1348,1213,1310,"fig|536231.75.peg.2261|RIL182_02145   protein of unknown function DUF815   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02146,256,412,547,34,52,47,11,28,0,125,283,353,1254,904,1065,"fig|536231.75.peg.2262|RIL182_02146   Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02147,437,614,603,82,103,72,25,49,30,480,414,677,3193,2724,2690,"fig|536231.75.peg.2263|RIL182_02147   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02148,1576,2275,3063,394,569,624,264,452,320,6626,6346,9395,20051,15533,18744,"fig|536231.75.peg.2264|RIL182_02148   DNA polymerase III polC-type (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02149,435,522,553,112,171,145,39,152,37,1783,1986,2569,6443,4867,6038,"fig|536231.75.peg.2265|RIL182_02149   (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02150,242,370,377,81,146,63,56,30,48,1249,1618,1192,5342,3568,3807,"fig|536231.75.peg.2266|RIL182_02150   Membrane-associated zinc metalloprotease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02151,294,494,510,116,147,147,15,92,38,1136,1304,1506,6466,5049,4985,"fig|536231.75.peg.2267|RIL182_02151   1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02152,199,272,291,79,81,64,105,134,90,2769,2764,3309,5504.402,3496,4698,"fig|536231.75.peg.2268|RIL182_02152   Phosphatidate cytidylyltransferase (EC 2.7.7.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02153,138,166,212,27,48,35,37,61,20,660,1064,781,3561,2702,2838,"fig|536231.75.peg.2269|RIL182_02153   Undecaprenyl diphosphate synthase (EC 2.5.1.31)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02154,695,1767,2488,176,210,181,302,509,157,8870,7073,10199,20837,17491,19876,"fig|536231.75.peg.2270|RIL182_02154   Ribosome recycling factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02155,1221,1883,2593,192,347,272,419,506,279,19007,13517,21654,22698,18692,23826,"fig|536231.75.peg.2271|RIL182_02155   Uridylate kinase (EC 2.7.4.22)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02156,938,1419,1952,220,331,314,120,355,101,7737,7489,8573,23449,18172,20083,"fig|536231.75.peg.2272|RIL182_02156   Polymer-forming bactofilin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02157,344,664,904,177,177,177,71,19,38,782,1024,819,4893,3462,3565,"fig|536231.75.peg.2273|RIL182_02157   Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02158,5,21,33,9,0,2,0,9,13,37,67,47,81,24,34,"fig|536231.75.peg.2274|RIL182_02158   Protein of unknown function DUF368   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02159,28,40,76,11,18,11,0,8,0,41,56,107,168,91,141,"fig|536231.75.peg.2275|RIL182_02159   Sodium-dependent phosphate transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02160,15,59,66,6,1,6,0,0,0,130,96,85,133,94,109,"fig|536231.75.peg.2276|RIL182_02160   Family 13 glycosyl hydrolase, row 724   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2277   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,0,0,0,0,0,0,0,0,0,0,0,9,0,6,"fig|536231.75.peg.2277   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02161,35,47,63,17,33,14,6,12,0,130,114,129,1303,1087,1016,"fig|536231.75.peg.2278|RIL182_02161   Transcriptional regulator, AraC family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2279   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",8,18,27,4,3,3,0,0,0,3,4,0,38,58,19,"fig|536231.75.peg.2279   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02162,689,1369,1827,172,243,186,195,454,251,4332,3257,4328,2521,2232,2147,"fig|536231.75.peg.2280|RIL182_02162   Integrase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02163,75,254,248,125,149,169,128,160,120,231,285,445,549,408,416,"fig|536231.75.peg.2281|RIL182_02163   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02164,9,15,27,38,25,37,0,26,0,19,23,0,80,36,47,"fig|536231.75.peg.2282|RIL182_02164   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02165,94,52,99,23,13,15,0,40,11,181,169,273,890,929,999,"fig|536231.75.peg.2283|RIL182_02165   Transcriptional regulator, Xre family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02166,283,536,726,64,14,13,0,12,11,313,377,267,215,263,203,"fig|536231.75.peg.2284|RIL182_02166   Transcriptional regulator, Xre family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02167,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,"fig|536231.75.peg.2285|RIL182_02167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02168,23,113,118.701,8,14,11,0,6,0,178.666,183.047,166.235,274.981,226.727,260.112,"fig|536231.75.peg.2286|RIL182_02168   fragment of DAK2 domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02169,155,201,353.299,13,24,23,103,124,69,2298.334,1190.953,2404.765,891.019,872.273,1064.888,"fig|536231.75.peg.2287|RIL182_02169   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02170,1523,2415,4404,826,1055,1062,616,1001,779,20740,21666,25404,50381,37555,42522,"fig|536231.75.peg.2288|RIL182_02170   Translation elongation factor Ts   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02171,976,2233,4127,888,1114,915,898,1090,780,27126,22833,29319,46784,40240.169,42257,"fig|536231.75.peg.2289|RIL182_02171   SSU ribosomal protein S2p (SAe)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02172,176,284,280,63,46,96,52,91,68,2467,2967,2481,9908,7308,7326,"fig|536231.75.peg.2290|RIL182_02172   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02173,220,316,388,88,87,81.001,139,221,153,4280.272,4402,3810,12851,10520.705,9527.243,"fig|536231.75.peg.2291|RIL182_02173   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02174,165,435.683,503.807,73.631,74,101.999,182,201.011,97,3450.535,3510.161,3110.426,11378.466,7665.677,7341.227,"fig|536231.75.peg.2292|RIL182_02174   FIG01019966: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02175,765,1410.317,1586.193,213.369,246,277,249,361.989,265,9888.192,9060.839,11130.574,39932.51,28486.914,30192.529,"fig|536231.75.peg.2293|RIL182_02175   RNA polymerase sigma factor for flagellar operon   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02176,83,162.743,154.728,24,38,53,0,0,0,258.098,151,214.996,2658.377,1933.519,2002.742,"fig|536231.75.peg.2294|RIL182_02176   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02177,149,308.257,302.452,91.317,83,109,65,20,20,394.069,582.14,478.51,5272.515,3851.255,3006.233,"fig|536231.75.peg.2295|RIL182_02177   Chemotaxis protein CheD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02178,1449,1575,1835.82,163.683,259,197.24,346,598,169,10615.773,7825.86,12809.856,25161.415,16356.226,20884.066,"fig|536231.75.peg.2296|RIL182_02178   Chemotaxis protein CheC -- inhibitor of MCP methylation   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02179,1055.837,984.585,1160.345,135,212,179.76,311.899,450.516,371.804,10752.782,7858.818,13156.704,14076.582,12386.882,14115.832,"fig|536231.75.peg.2297|RIL182_02179   Positive regulator of CheA protein activity (CheW)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02180,5522.163,8382.415,10530.655,829,1122,1113,778.101,1349.484,757.196,25787.278,21790.182,29924.934,85064.861,65668.118,72588.127,"fig|536231.75.peg.2298|RIL182_02180   Signal transduction histidine kinase CheA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02181,3662,5142,6487,516,797,644,652,788,391,18140,14203,19735,48314,33189,38125,"fig|536231.75.peg.2299|RIL182_02181   Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02182,459,635,780,125,166,128,148,186,106,2857,2406,3208,10992,9916,10612,"fig|536231.75.peg.2300|RIL182_02182   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02183,590,730,1036,96,151,191,66,181,91,2209,1934,2493,9226,6510,7639,"fig|536231.75.peg.2301|RIL182_02183   Flagellar synthesis regulator FleN   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02184,1155,1375,1858,206,305,247,318,328,324,8321,6490,9107,26827.382,21282,23527,"fig|536231.75.peg.2302|RIL182_02184   Flagellar biosynthesis protein FlhF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02185,1630,2028,2539,298,417,367,342,449,197,5975,5171,7668,24167,17254,20792,"fig|536231.75.peg.2303|RIL182_02185   Flagellar biosynthesis protein FlhA   [Roseburia intestinalis L1-82 | 536231.75]
"
