,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
2792,RIL182_02817,Oligopeptide ABC transporter%2C permease protein OppC (TC 3.A.1.5.1),ko:K02034,-,COG1173,PFAM binding-protein-dependent transport systems inner membrane component,EP
2793,RIL182_02818,Nickel ABC transporter%2C permease protein NikB (TC 3.A.1.5.3),ko:K02033,-,COG0601,Binding-protein-dependent transport system inner membrane component,P
2794,RIL182_02819,Oligopeptide ABC transporter%2C ATP-binding protein OppF (TC 3.A.1.5.1),"ko:K02032,ko:K10823",-,COG4608,"Oligopeptide/dipeptide transporter, C-terminal region",P
2795,RIL182_02820,Oligopeptide ABC transporter%2C ATP-binding protein OppD (TC 3.A.1.5.1),-,-,COG0444,"Oligopeptide/dipeptide transporter, C-terminal region",EP
2796,RIL182_02821,Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1),ko:K02035,-,COG0747,"Bacterial extracellular solute-binding proteins, family 5 Middle",E
2797,RIL182_02822,hypothetical protein,-,-,28PR6,-,-
2798,RIL182_02823,Transcriptional regulator%2C GntR family domain / Aspartate aminotransferase (EC 2.6.1.1),ko:K00375,-,COG1167,aminotransferase class I and II,K
2799,RIL182_02824,hypothetical protein,ko:K09766,-,COG1655,Uncharacterized protein conserved in bacteria (DUF2225),S
2800,RIL182_02825,Glutaminyl-tRNA synthetase (EC 6.1.1.18),ko:K01886,6.1.1.18,COG0008,Glutaminyl-tRNA synthetase,J
2801,RIL182_02826,ATP-dependent DNA helicase RecG,ko:K03655,3.6.4.12,COG2865,"Psort location Cytoplasmic, score",K
2802,RIL182_02827,FIG00451057: hypothetical protein,NA,NA,NA,NA,NA
2803,RIL182_02828,hypothetical protein,NA,NA,NA,NA,NA
2804,RIL182_02829,Peptide chain release factor 1,ko:K02835,-,COG0216,Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA,J
2805,RIL182_02830,Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297),ko:K02493,2.1.1.297,COG2890,Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif,J
2806,RIL182_02831,FIG069887: hypothetical protein,-,-,COG3872,"Psort location CytoplasmicMembrane, score",J
2807,RIL182_02832,LSU ribosomal protein L31p @ LSU ribosomal protein L31p%2C zinc-dependent,ko:K02909,-,COG0254,50S ribosomal protein L31,J
2808,RIL182_02833,Transcription termination factor Rho,ko:K03628,-,COG1158,"Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template",K
2809,RIL182_02835,Transcriptional regulator%2C Xre family,-,-,COG1396,"Psort location CytoplasmicMembrane, score",K
2810,RIL182_02836,Secreted protein,NA,NA,NA,NA,NA
2811,RIL182_02837,hypothetical protein,NA,NA,NA,NA,NA
2812,RIL182_02838,hypothetical protein,-,-,2C5R4,Transposon-encoded protein TnpV,S
2813,RIL182_02839,SAM-dependent methyltransferase,-,-,COG0500,Methyltransferase domain,Q
2814,RIL182_02840,hypothetical protein,-,-,COG5433,"PFAM Transposase, IS4-like",L
2815,RIL182_02841,Integrase,-,-,COG0582,"Site-specific recombinase, phage integrase family",L
2816,RIL182_02842,hypothetical protein,-,-,2AUVQ,-,-
2817,RIL182_02843,Site-specific tyrosine recombinase,-,-,COG4974,"Phage integrase, N-terminal SAM-like domain",L
2818,RIL182_02844,hypothetical protein,-,-,2AUVQ,"Psort location Cytoplasmic, score 8.87",S
2819,RIL182_02845,hypothetical protein,-,-,296XG,"Psort location Cytoplasmic, score",S
2820,RIL182_02846,HTH DNA-binding protein,-,-,COG2013,Mitochondrial biogenesis AIM24,S
2821,RIL182_02847,UvrD/Rep helicase family protein,ko:K03657,3.6.4.12,COG3973,DNA helicase,L
2822,RIL182_02848,hypothetical protein,-,-,COG2755,GDSL-like Lipase/Acylhydrolase,E
2823,RIL182_02849,Transcriptional regulator%2C LysR family,ko:K21755,-,COG0583,transcriptional regulator,K
2824,RIL182_02850,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,"Psort location CytoplasmicMembrane, score",V
2825,RIL182_02851,ATP-dependent DNA helicase RecQ,ko:K03654,3.6.4.12,COG0514,ATP-dependent DNA helicase RecQ,L
2826,RIL182_02852,hypothetical protein,ko:K03308,-,COG0733,COG COG0733 Na -dependent transporters of the SNF family,P
2827,RIL182_02853,Uncharacterized MFS-type transporter,-,-,COG0738,Major Facilitator,G
2828,RIL182_02854,Diguanylate cyclase/phosphodiesterase domain 1 (GGDEF),-,-,COG2199,diguanylate cyclase activity,T
2829,RIL182_02855,hypothetical protein,-,-,COG0826,"Psort location Cytoplasmic, score 8.87",O
2830,RIL182_02856,Bis-ABC ATPase YheS,ko:K06158,-,COG0488,Abc transporter,S
2831,RIL182_02857,Glycerate kinase (EC 2.7.1.31),ko:K00865,2.7.1.165,COG1929,Belongs to the glycerate kinase type-1 family,G
2832,RIL182_02858,putative rRNA methylase,-,-,COG0566,"Psort location Cytoplasmic, score",J
2833,RIL182_02859,ABC transporter%2C ATP-binding protein,NA,NA,NA,NA,NA
2834,RIL182_02860,ABC transporter%2C ATP-binding protein,ko:K19350,-,COG0488,ABC transporter,S
2835,RIL182_02861,Bis-ABC ATPase CAC0528,ko:K19350,-,COG0488,"Psort location CytoplasmicMembrane, score 9.49",S
2836,RIL182_02862,hypothetical protein,ko:K02004,-,COG0577,"Efflux ABC transporter, permease protein",V
2837,RIL182_02863,hypothetical protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
2838,RIL182_02864,ABC transporter%2C ATP-binding protein,ko:K02003,-,COG1136,ABC transporter,V
2839,RIL182_02865,hypothetical protein,-,-,28JN4,"Psort location Cytoplasmic, score",S
2840,RIL182_02866,hypothetical protein,-,-,COG5263,Listeria-Bacteroides repeat domain (List_Bact_rpt),N
2841,RIL182_02867,hypothetical protein,NA,NA,NA,NA,NA
2842,RIL182_02868,hypothetical protein,-,-,COG1396,Helix-turn-helix domain,K
2843,RIL182_02869,hypothetical protein,-,-,2C9RU,-,-
2844,RIL182_02870,G:T/U mismatch-specific uracil/thymine DNA-glycosylase (EC 3.2.2.27),ko:K03649,3.2.2.28,COG3663,COG3663 G T U mismatch-specific DNA glycosylase,L
2845,RIL182_02871,ABC transporter%2C substrate-binding protein (cluster 2%2C ribose/xylose/arabinose/galactose),ko:K17213,-,COG1879,Periplasmic binding protein domain,G
2846,RIL182_02872,hypothetical protein,ko:K03406,-,COG0840,Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).,NT
2847,RIL182_02873,Aspartate--ammonia ligase (EC 6.3.1.1),ko:K01914,6.3.1.1,COG2502,aspartate--ammonia ligase,E
2848,RIL182_02874,N-carbamoylputrescine amidase (EC 3.5.1.53),"ko:K01431,ko:K12251","3.5.1.53,3.5.1.6",COG0388,N-carbamoylputrescine amidase,S
2849,RIL182_02875,Agmatine deiminase (EC 3.5.3.12),ko:K10536,3.5.3.12,COG2957,agmatine deiminase,E
2850,RIL182_02876,Carboxynorspermidine decarboxylase (EC 4.1.1.96),ko:K13747,4.1.1.96,COG0019,carboxynorspermidine decarboxylase,E
2851,RIL182_02877,Carboxynorspermidine synthase (EC 1.5.1.43),ko:K00290,1.5.1.7,COG1748,Saccharopine dehydrogenase,E
2852,RIL182_02878,Spermidine synthase (EC 2.5.1.16),ko:K00797,2.5.1.16,COG0421,"Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine",H
2853,RIL182_02879,Arginine decarboxylase (EC 4.1.1.19),ko:K01585,4.1.1.19,COG1982,Orn Lys Arg decarboxylase major,E
2854,RIL182_02880,Endonuclease IV (EC 3.1.21.2),ko:K01151,3.1.21.2,COG0648,Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin,L
2855,RIL182_02881,Fructose-1%2C6-bisphosphatase%2C Bacillus type (EC 3.1.3.11),ko:K04041,3.1.3.11,COG3855,"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 3",G
2856,RIL182_02882,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8),ko:K00215,1.17.1.8,COG0289,Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate,E
2857,RIL182_02883,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),ko:K01714,4.3.3.7,COG0329,Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA),E
2858,RIL182_02884,Single-stranded DNA-binding protein,-,-,COG0629,PFAM single-strand binding protein Primosomal replication protein n,L
2859,RIL182_02885,GTP-binding protein TypA/BipA,ko:K06207,-,COG1217,GTP-binding protein TypA,T
2860,RIL182_02886,diguanylate cyclase/phosphodiesterase (GGDEF %26 EAL domains) with PAS/PAC sensor(s),-,-,COG2199,Diguanylate cyclase (GGDEF) domain,T
2861,RIL182_02887,Cell wall endopeptidase%2C family M23/M37,ko:K21472,-,COG0739,COG0739 Membrane proteins related to metalloendopeptidases,M
2862,RIL182_02888,Ferric uptake regulation protein FUR,ko:K03711,-,COG0735,Belongs to the Fur family,P
2863,RIL182_02889,hypothetical protein,ko:K07089,-,2C6CR,"Psort location CytoplasmicMembrane, score",S
2864,RIL182_02890,Chaperone protein DnaJ,ko:K03686,-,COG0484,"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins",O
2865,RIL182_02891,Chaperone protein DnaK,ko:K04043,-,COG0443,Heat shock 70 kDa protein,O
2866,RIL182_02892,Heat shock protein GrpE,ko:K03687,-,COG0576,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ",O
2867,RIL182_02893,Heat-inducible transcription repressor HrcA,ko:K03705,-,COG1420,Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons,K
2868,RIL182_02894,putative membrane protein,NA,NA,NA,NA,NA
2869,RIL182_02895,FIG028455: hypothetical protein,NA,NA,NA,NA,NA
2870,RIL182_02896,hypothetical protein,NA,NA,NA,NA,NA
2871,RIL182_02897,hypothetical protein,-,-,28PI9,Glucosyl transferase GtrII,S
2872,RIL182_02898,Glycyl-tRNA synthetase (EC 6.1.1.14),ko:K01880,6.1.1.14,COG0423,Belongs to the class-II aminoacyl-tRNA synthetase family,J
2873,RIL182_02899,hypothetical protein,-,-,2BFV8,-,-
2874,RIL182_02901,hypothetical protein,NA,NA,NA,NA,NA
2875,RIL182_02902,GTP-binding protein Era,ko:K03595,-,COG1159,"An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism",S
2876,RIL182_02903,Predicted insulinase-like Zn-dependent peptidase DVU0941,ko:K06972,-,COG1026,Peptidase M16 inactive domain protein,S
2877,RIL182_02904,Cold shock protein of CSP family,ko:K03704,-,COG1278,Cold shock protein,K
2878,RIL182_02905,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,ko:K03442,-,COG0668,mechanosensitive ion channel,M
2879,RIL182_02906,Related to HTH domain of SpoOJ/ParA/ParB/repB family%2C involved in chromosome partitioning,-,-,COG4198,Conserved protein,S
2880,RIL182_02907,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),ko:K00058,"1.1.1.399,1.1.1.95",COG0111,D-isomer specific 2-hydroxyacid dehydrogenase,EH
2881,RIL182_02908,Phosphoserine aminotransferase (EC 2.6.1.52),ko:K00831,2.6.1.52,COG1932,Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine,E
2882,RIL182_02909,Acetolactate synthase large subunit (EC 2.2.1.6),ko:K01652,2.2.1.6,COG0028,"Acetolactate synthase, large subunit",H
2883,RIL182_02910,Dihydroxy-acid dehydratase (EC 4.2.1.9),ko:K01687,4.2.1.9,COG0129,Belongs to the IlvD Edd family,EG
2884,RIL182_02911,3-isopropylmalate dehydrogenase (EC 1.1.1.85),ko:K00052,1.1.1.85,COG0473,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate,C
2885,RIL182_02912,hypothetical protein,-,-,COG1132,"'abc transporter, ATP-binding protein",V
2886,RIL182_02913,hypothetical protein,NA,NA,NA,NA,NA
2887,RIL182_02914,hypothetical protein,NA,NA,NA,NA,NA
2888,RIL182_02915,Transcriptional regulatory protein,NA,NA,NA,NA,NA
2889,RIL182_02916,predicted cleavage at residue 25,NA,NA,NA,NA,NA
2890,RIL182_02917,hypothetical protein,NA,NA,NA,NA,NA
2891,RIL182_02918,Transcriptional regulator%2C Xre family,NA,NA,NA,NA,NA
2892,RIL182_02919,Protein translocase subunit YajC,ko:K03210,-,COG1862,"Preprotein translocase, YajC subunit",U
2893,RIL182_02920,Queuine tRNA-ribosyltransferase (EC 2.4.2.29),ko:K00773,2.4.2.29,COG0343,"Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)",J
2894,RIL182_02921,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19),ko:K00800,2.5.1.19,COG0128,Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate,E
2895,RIL182_02922,Chorismate synthase (EC 4.2.3.5),ko:K01736,4.2.3.5,COG0082,"Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system",E
2896,RIL182_02923,Glutamine synthetase-associated two-component response regulator,ko:K22010,-,COG3707,ANTAR domain protein,K
2897,RIL182_02924,Glutamine synthetase type I (EC 6.3.1.2),ko:K01915,6.3.1.2,COG0174,glutamine synthetase,E
2898,RIL182_02925,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16),ko:K01814,5.3.1.16,COG0106,Histidine biosynthesis protein,E
2899,RIL182_02926,Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain,ko:K00088,1.1.1.205,COG0516,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth",F
2900,RIL182_02927,hypothetical protein,ko:K03699,-,COG1253,Cbs domain,M
2901,RIL182_02928,hypothetical protein,-,-,2FBHF,-,-
2902,RIL182_02929,1%2C4-alpha-glucan branching enzyme (EC 2.4.1.18),-,-,COG5184,Leucine rich repeats (6 copies),N
2903,RIL182_02930,Peptidoglycan-N-acetylmuramic acid deacetylase PdaA,ko:K01567,-,COG0726,delta-lactam-biosynthetic de-N-acetylase,G
2904,RIL182_02931,ABC-type antimicrobial peptide transport system%2C permease component,ko:K02004,-,COG0577,"ABC-type antimicrobial peptide transport system, permease component",V
2905,RIL182_02932,ABC-type antimicrobial peptide transport system%2C ATPase component,ko:K02003,-,COG1136,ABC transporter,V
2906,RIL182_02933,ABC transporter%2C RND-adapter-like protein,-,-,COG0845,"Efflux transporter, RND family, MFP subunit",M
2907,RIL182_02934,NADH pyrophosphatase (EC 3.6.1.22)%2C decaps 5'-NAD modified RNA,ko:K03426,3.6.1.22,COG2816,"Psort location Cytoplasmic, score",L
2908,RIL182_02935,hypothetical protein,-,-,COG0705,"Psort location CytoplasmicMembrane, score",S
2909,RIL182_02936,hypothetical protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
2910,RIL182_02937,Activator of (R)-2-hydroxyglutaryl-CoA dehydratase,-,-,COG1924,CoA enzyme activase uncharacterised domain (DUF2229),I
2911,RIL182_02938,Activator of (R)-2-hydroxyglutaryl-CoA dehydratase,-,-,COG1924,CoA-substrate-specific enzyme activase,I
2912,RIL182_02939,hypothetical protein,NA,NA,NA,NA,NA
2913,RIL182_02940,hypothetical protein,NA,NA,NA,NA,NA
2914,RIL182_02941,hypothetical protein,NA,NA,NA,NA,NA
2915,RIL182_02942,hypothetical protein,-,-,2EG0W,-,-
2916,RIL182_02943,hypothetical protein,-,-,28I5Y,-,-
2917,RIL182_02944,Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF%2C TadA subfamily,ko:K02283,-,COG0630,"COG0630 Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",NU
2918,RIL182_02945,hypothetical protein,NA,NA,NA,NA,NA
2919,RIL182_02946,hypothetical protein,NA,NA,NA,NA,NA
2920,RIL182_02947,DegV family protein,-,-,COG1307,"EDD domain protein, DegV family",S
2921,RIL182_02948,hypothetical protein,-,-,COG1917,"conserved protein, contains double-stranded beta-helix domain",S
2922,RIL182_02949,UPF0145 protein TM_0763,-,-,COG0393,Belongs to the UPF0145 family,S
2923,RIL182_02950,hypothetical protein,-,-,2ENA7,-,-
2924,RIL182_02951,fliB domain protein,ko:K18475,-,COG0727,PFAM Uncharacterised protein family (UPF0153),S
2925,RIL182_02952,Bis-ABC ATPase SPy1206,ko:K06158,-,COG0488,Abc transporter,S
2926,RIL182_02953,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,Mate efflux family protein,V
2927,RIL182_02954,Foldase protein PrsA precursor (EC 5.2.1.8),ko:K07533,5.2.1.8,COG0760,"Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation",O
2928,RIL182_02955,FIG01020016: hypothetical protein,ko:K07137,-,COG2509,'oxidoreductase,S
2929,RIL182_02956,hypothetical protein,-,-,2E51P,"Psort location Cytoplasmic, score",S
2930,RIL182_02957,Septum formation protein Maf,ko:K06287,-,COG0424,Maf-like protein,D
2931,RIL182_02958,ATP-dependent helicase/nuclease AddAB%2C subunit A,ko:K16898,3.6.4.12,COG1074,ATP-dependent helicase nuclease subunit A,L
2932,RIL182_02959,ATP-dependent helicase/nuclease AddAB%2C subunit B,ko:K16899,3.6.4.12,COG3857,"The heterodimer acts as both an ATP-dependent DNA helicase and an ATP-dependent, dual-direction single-stranded exonuclease. Recognizes the chi site generating a DNA molecule suitable for the initiation of homologous recombination. The AddB nuclease domain is not required for chi fragment generation",L
