,gene_id,description,ko,EC_number,cogs,cogs_description
2833,BT_2769,putative serine/threonine-protein kinase pknB,K12132,2.7.11.1,COG3209,General function prediction only
2834,BT_2770,conserved hypothetical protein%2C serine/threonine kinase pknB-like protein,NA,NA,COG1716,Signal transduction mechanisms
2835,BT_2771,putative serine/threonine-protein kinase pknB,K08884,2.7.11.1,COG0515,Signal transduction mechanisms
2836,BT_2772,putative protein phosphatase,K20074,3.1.3.16,COG0631,Signal transduction mechanisms
2837,BT_2773,Forkhead-associated protein-like protein,NA,NA,COG1716,Signal transduction mechanisms
2838,BT_2774,putative adenylate cyclase,NA,NA,COG1716,Signal transduction mechanisms
2839,BT_2775,putative helicase,NA,NA,COG5545,"Mobilome: prophages, transposons"
2840,BT_2776,hypothetical protein,NA,NA,NA,NA
2841,BT_2777,conserved hypothetical protein,NA,NA,NA,NA
2842,BT_2778,RNA polymerase ECF-type sigma factor,NA,NA,COG1595,Transcription
2843,BT_2779,3-demethylubiquinone-9 3-methyltransferase,NA,NA,COG2227,Coenzyme transport and metabolism
2844,BT_2780,conserved hypothetical protein%2C putative membrane-associated protein,K07148,NA,COG2311,Function unknown
2845,BT_t49,tRNA-Leu,K14228,NA,NA,NA
2846,BT_2781,putative mannose-1-phosphate guanylyltransferase,K00971,2.7.7.13,COG0836,Cell wall/membrane/envelope biogenesis
2847,BT_2782,long-chain-fatty-acid--CoA ligase,NA,NA,COG0318,Lipid transport and metabolism
2848,BT_2783,transcriptional regulator,NA,NA,COG1396,Transcription
2849,BT_2784,hypothetical protein,NA,NA,NA,NA
2850,BT_2785,conserved hypothetical protein,NA,NA,NA,NA
2851,BT_2786,30S ribosomal protein S15,K02956,NA,COG0184,"Translation, ribosomal structure and biogenesis"
2852,BT_2787,GTP-binding elongation factor family protein TypA/BipA,K06207,NA,COG1217,Signal transduction mechanisms
2853,BT_2788,chromate transport protein,K07240,NA,COG2059,Inorganic ion transport and metabolism
2854,BT_2789,chromate transport protein,K07240,NA,COG2059,Inorganic ion transport and metabolism
2855,BT_2790,phosphoenolpyruvate carboxykinase (ATP),K01610,4.1.1.49,COG1866,Energy production and conversion
2856,BT_2791,uracil phosphoribosyltransferase,K00761,2.4.2.9,COG0035,Nucleotide transport and metabolism
2857,BT_2792,AraC/XylS family transcriptional regulator,NA,NA,COG2207,Transcription
2858,BT_2793,putative MFS transporter,NA,NA,NA,NA
2859,BT_2794,putative multidrug resistance protein,K03543,NA,COG1566,Defense mechanisms
2860,BT_2795,outer membrane efflux protein precursor,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
2861,BT_2796,conserved hypothetical protein,NA,NA,NA,NA
2862,BT_2797,adenosylhomocysteinase,K01251,3.13.2.1,COG0499,Coenzyme transport and metabolism
2863,BT_2798,carboxy-terminal processing protease precursor,K03797,3.4.21.102,COG0793,"Posttranslational modification, protein turnover, chaperones"
2864,BT_2799,putative PfkB family carbohydrate kinase,NA,NA,COG0524,Carbohydrate transport and metabolism
2865,BT_t50,tRNA-Asn,K14220,NA,NA,NA
2866,BT_t51,tRNA-Asn,K14220,NA,NA,NA
2867,BT_2800,putative amidophosphoribosyl-transferase,NA,NA,COG1040,General function prediction only
2868,BT_2801,inositol-1-monophosphatase,K01092,3.1.3.25,COG0483,Carbohydrate transport and metabolism
2869,BT_2802,conserved hypothetical protein,NA,NA,NA,NA
2870,BT_2803,ribokinase,K00852,2.7.1.15,COG0524,Carbohydrate transport and metabolism
2871,BT_2804,ribokinase,K00852,2.7.1.15,COG0524,Carbohydrate transport and metabolism
2872,BT_2805,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
2873,BT_2806,SusD homolog,NA,NA,NA,NA
2874,BT_2807,Glycoside hydrolase%2C family 35,NA,NA,NA,NA
2875,BT_2808,putative inosine-uridine preferring nucleoside hydrolase,NA,NA,COG1957,Nucleotide transport and metabolism
2876,BT_2809,putative integral membrane protein,K05340,NA,NA,NA
2877,BT_2810,Metallophosphoesterase,NA,NA,COG3568,General function prediction only
2878,BT_2811,alkyl hydroperoxide reductase subunit F,K03387,NA,COG3634,Defense mechanisms
2879,BT_2812,alkyl hydroperoxide reductase C22 protein,K24119,1.11.1.26,COG0450,Defense mechanisms
2880,BT_2813,sodium-dependent multivitamin transporter,K03307,NA,COG0591,Amino acid transport and metabolism
2881,BT_2814,dihydrodipicolinate synthase,K01714,4.3.3.7,COG0329,Cell wall/membrane/envelope biogenesis
2882,BT_2815,putative mutT family protein,NA,NA,COG2816,Nucleotide transport and metabolism
2883,BT_2816,TPR domain-containing protein,NA,NA,COG5010,Extracellular structures
2884,BT_2817,putative TonB-dependent receptor,NA,NA,COG4206,Coenzyme transport and metabolism
2885,BT_2818,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
2886,BT_2819,SusD homolog,NA,NA,NA,NA
2887,BT_2820,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
2888,BT_2821,SusD homolog,K21572,NA,NA,NA
2889,BT_2822,conserved hypothetical protein,NA,NA,NA,NA
2890,BT_2823,conserved hypothetical protein,NA,NA,NA,NA
2891,BT_2824,beta-glucanase precursor,NA,NA,COG2273,Carbohydrate transport and metabolism
2892,BT_2825,chitinase,NA,NA,COG3858,"Cell cycle control, cell division, chromosome partitioning"
2893,BT_2826,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG3292,Signal transduction mechanisms
2894,BT_2827,DNA topoisomerase I,K03168,5.6.2.1,COG1754,Function unknown
2895,BT_2828,putative lipoprotein,NA,NA,NA,NA
2896,BT_2829,arginyl-tRNA synthetase,K01887,6.1.1.19,COG0018,"Translation, ribosomal structure and biogenesis"
2897,BT_2830,DNA-binding protein HU-beta,K03530,NA,COG0776,"Replication, recombination and repair"
2898,BT_2831,rhomboid family protein,NA,NA,COG0705,"Posttranslational modification, protein turnover, chaperones"
2899,BT_2832,rhomboid family protein,NA,NA,COG0705,"Posttranslational modification, protein turnover, chaperones"
2900,BT_2833,endonuclease/exonuclease/phosphatase-like protein,NA,NA,COG0708,"Replication, recombination and repair"
2901,BT_2834,peptidyl-dipeptidase,K01284,3.4.15.5,COG0339,"Posttranslational modification, protein turnover, chaperones"
2902,BT_2835,protein-export membrane protein SecD/SecF,K12257,NA,COG0342,"Intracellular trafficking, secretion, and vesicular transport"
2903,BT_t52,tRNA-Arg,K14219,NA,NA,NA
2904,BT_2836,2-oxoglutarate synthase subunit korA,K00174,1.2.7.11,COG1014,Energy production and conversion
2905,BT_2837,2-oxoglutarate synthase subunit korB,K00175,1.2.7.11,COG1013,Energy production and conversion
2906,BT_2838,putative lipoprotein releasing system transmembrane permease,K09808,NA,COG4591,Cell wall/membrane/envelope biogenesis
2907,BT_2839,ribosome-binding factor A,K02834,NA,COG0858,"Translation, ribosomal structure and biogenesis"
2908,BT_2840,O-methyltransferase,NA,NA,COG4122,"Translation, ribosomal structure and biogenesis"
2909,BT_2841,pyruvate kinase,K00873,2.7.1.40,COG0469,Carbohydrate transport and metabolism
2910,BT_2842,3-dehydroquinate dehydratase,K03786,4.2.1.10,COG0757,Amino acid transport and metabolism
2911,BT_2843,integrase,K04763,NA,COG4974,"Replication, recombination and repair"
2912,BT_2844,TPR domain protein,NA,NA,COG5010,Extracellular structures
2913,BT_2845,possible thiol-disulfide oxidoreductase,NA,NA,NA,NA
2914,BT_2846,magnesium chelatase%2C subunit ChlI,K07391,NA,COG0606,"Posttranslational modification, protein turnover, chaperones"
2915,BT_2847,conserved hypothetical protein,NA,NA,NA,NA
2916,BT_2848,putative lipoprotein,NA,NA,NA,NA
2917,BT_2849,aldose 1-epimerase precursor,K01785,5.1.3.3,COG2017,Carbohydrate transport and metabolism
2918,BT_2850,putative two-component system sensor histidine kinase,NA,NA,COG0642,Signal transduction mechanisms
2919,BT_2851,alpha-galactosidase (melibiase),K07407,3.2.1.22,COG3345,Carbohydrate transport and metabolism
2920,BT_2852,putative beta-xylosidase,NA,NA,COG3507,Carbohydrate transport and metabolism
2921,BT_2853,hypothetical protein,NA,NA,NA,NA
2922,BT_2854,periplasmic beta-glucosidase precursor,K05349,3.2.1.21,COG1472,Carbohydrate transport and metabolism
2923,BT_2855,beta-mannosidase precursor,NA,NA,COG3250,Carbohydrate transport and metabolism
2924,BT_2856,conserved hypothetical protein,NA,NA,NA,NA
2925,BT_2857,Galactose-binding like protein,NA,NA,NA,NA
2926,BT_2858,SusD homolog,NA,NA,NA,NA
2927,BT_2859,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
2928,BT_2860,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG3292,Signal transduction mechanisms
2929,BT_2861,putative outer membrane protein,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
2930,BT_2862,tyrosine-protein kinase ptk,K16692,2.7.10.3,COG3206,Cell wall/membrane/envelope biogenesis
2931,BT_2863,putative polysaccharide export protein,K01991,NA,COG1596,Cell wall/membrane/envelope biogenesis
2932,BT_2864,putative glycosyltransferase (family 4) involved in lipopolysaccharide biosynthesis,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
2933,BT_2865,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
2934,BT_2866,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
2935,BT_2867,TonB box%2C N-terminal,NA,NA,NA,NA
2936,BT_2868,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
2937,BT_2869,putative succinyltransferase involved in succinoglycan biosynthesis,NA,NA,NA,NA
2938,BT_2870,glycoside transferase family 14,NA,NA,NA,NA
2939,BT_2871,glycoside transferase family 14,NA,NA,NA,NA
2940,BT_2872,putative capsular polysaccharide synthesis protein,NA,NA,COG3774,Cell wall/membrane/envelope biogenesis
2941,BT_2873,putative stress protein,NA,NA,COG1442,Cell wall/membrane/envelope biogenesis
2942,BT_2874,putative colanic acid biosynthesis glycosyltransferase,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
2943,BT_2875,serine O-acetyltransferase,K00640,2.3.1.30,COG1045,Amino acid transport and metabolism
2944,BT_2876,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
2945,BT_2877,putative acetyltransferase,NA,NA,COG0110,General function prediction only
2946,BT_2878,lipopolysaccharide biosynthesis protein,NA,NA,COG2244,Cell wall/membrane/envelope biogenesis
2947,BT_2879,CDP-glycerol glycerophosphotransferase,NA,NA,COG1887,Cell wall/membrane/envelope biogenesis
2948,BT_2880,putative nucleotide-sugar dehydratase,NA,NA,COG0451,Cell wall/membrane/envelope biogenesis
2949,BT_2881,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,K00991,2.7.7.60,COG1211,Lipid transport and metabolism
2950,BT_2882,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
2951,BT_2883,phosphoribosylglycinamide formyltransferase,K11175,2.1.2.2,COG0299,Nucleotide transport and metabolism
2952,BT_2884,WbqC-like protein family,NA,NA,NA,NA
2953,BT_2885,nucleotide sugar transaminase,NA,NA,COG0399,Cell wall/membrane/envelope biogenesis
2954,BT_2886,putative transcriptional regulator,NA,NA,COG0250,Transcription
2955,BT_2887,putative UDP-galactose 4-epimerase,K19997,5.1.3.26,COG0451,Cell wall/membrane/envelope biogenesis
2956,BT_2888,glycosyltransferase,NA,NA,COG0472,Cell wall/membrane/envelope biogenesis
2957,BT_2889,AraC family transcriptional regulator,NA,NA,COG2207,Transcription
2958,BT_2890,transposase,NA,NA,COG4974,"Replication, recombination and repair"
2959,BT_2891,hypothetical protein,NA,NA,NA,NA
2960,BT_2892,glycoside hydrolase family 93,NA,NA,NA,NA
2961,BT_2893,SusD homolog,K21572,NA,NA,NA
2962,BT_2894,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
2963,BT_2895,endo-1%2C4-beta-xylanase,NA,NA,COG3507,Carbohydrate transport and metabolism
2964,BT_2896,NHL repeat protein,NA,NA,NA,NA
2965,BT_2897,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
2966,BT_2898,endo-1%2C4-beta-xylanase D precursor,NA,NA,COG3507,Carbohydrate transport and metabolism
2967,BT_2899,hypothetical protein,NA,NA,NA,NA
2968,BT_2900,arabinan endo-1%2C5-alpha-L-arabinosidase A precursor,K06113,3.2.1.99,COG3507,Carbohydrate transport and metabolism
2969,BT_2901,putative glycoside hydrolase,NA,NA,NA,NA
2970,BT_2902,hypothetical protein,NA,NA,NA,NA
2971,BT_2903,Galactose-binding like protein,NA,NA,NA,NA
2972,BT_2904,SusD homolog,K21572,NA,NA,NA
2973,BT_2905,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
2974,BT_2906,conserved hypothetical protein,NA,NA,NA,NA
2975,BT_2907,glycosyltransferase-like protein,NA,NA,NA,NA
2976,BT_2908,conserved hypothetical protein,NA,NA,COG4354,Function unknown
2977,BT_2909,putative L-arabinose isomerase,K01804,5.3.1.4,COG2160,Carbohydrate transport and metabolism
2978,BT_2910,transcriptional regulator,NA,NA,COG2207,Transcription
2979,BT_2911,putative Acetyl-CoA carboxylase%2C biotin carboxylase,K09955,NA,COG3533,Carbohydrate transport and metabolism
2980,BT_2912,putative glycosyslhydrolase,K25010,3.1.1.117,COG3940,Carbohydrate transport and metabolism
2981,BT_2913,unsaturated glucuronylhydrolase,NA,NA,NA,NA
2982,BT_2914,iduronate 2-sulfatase precursor,NA,NA,COG3119,Inorganic ion transport and metabolism
2983,BT_2915,putative secreted protein,NA,NA,COG1409,Signal transduction mechanisms
2984,BT_2916,conserved hypothetical protein,NA,NA,COG4289,Function unknown
2985,BT_2917,conserved hypothetical protein,NA,NA,NA,NA
2986,BT_2918,hypothetical protein,NA,NA,NA,NA
2987,BT_2919,SusD homolog,NA,NA,NA,NA
2988,BT_2920,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
2989,BT_2921,glycosyl hydrolase%2C family 88,NA,NA,COG4225,Carbohydrate transport and metabolism
2990,BT_2922,beta-galactosidase,NA,NA,COG3250,Carbohydrate transport and metabolism
2991,BT_2923,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
2992,BT_2924,acetyl-CoA synthetase,K09181,NA,COG1042,Energy production and conversion
2993,BT_2925,hypothetical protein,NA,NA,NA,NA
2994,BT_2926,hypothetical protein,NA,NA,NA,NA
2995,BT_2927,conserved hypothetical protein%2C putative cell wall-associated protein precursor,NA,NA,COG3209,General function prediction only
2996,BT_2928,hypothetical protein,NA,NA,NA,NA
2997,BT_2929,putative non-specific DNA-binding protein,NA,NA,COG0776,"Replication, recombination and repair"
2998,BT_2930,conserved hypothetical protein,NA,NA,NA,NA
2999,BT_2931,hypothetical protein,NA,NA,NA,NA
3000,BT_2932,transcriptional regulator,NA,NA,COG2932,"Mobilome: prophages, transposons"
3001,BT_2933,Methionyl-tRNA synthetase,K01874,6.1.1.10,COG0143,"Translation, ribosomal structure and biogenesis"
3002,BT_2934,putative transmembrane transport protein%2C putative lipopolysaccharide biosynthesis protein,NA,NA,COG2244,Cell wall/membrane/envelope biogenesis
3003,BT_2935,hypothetical protein,NA,NA,NA,NA
3004,BT_2936,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
3005,BT_2937,putative glycosyltransferase,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
3006,BT_2938,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
3007,BT_2939,putative transcriptional regulator,NA,NA,COG2207,Transcription
3008,BT_2940,multidrug resistance protein,K03585,NA,COG0845,Defense mechanisms
3009,BT_2941,multidrug resistance protein mexB (multidrug-efflux protein),NA,NA,COG0841,Defense mechanisms
3010,BT_2942,putative multidrug resistance protein,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
3011,BT_2943,putative hexapeptide transferase family protein,NA,NA,COG1045,Amino acid transport and metabolism
3012,BT_2944,putative UDP-N-acetylglucosamine 2-epimerase,K01791,5.1.3.14,COG0381,Cell wall/membrane/envelope biogenesis
3013,BT_2945,UDP-N-acetyl-D-mannosamine dehydrogenase,K02472,1.1.1.336,COG0677,Cell wall/membrane/envelope biogenesis
3014,BT_2946,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
3015,BT_2947,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
3016,BT_2948,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
3017,BT_2949,putative alpha-1%2C6-mannanase,NA,NA,COG1331,General function prediction only
3018,BT_2950,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
3019,BT_2951,SusD homolog,K21572,NA,NA,NA
3020,BT_2952,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
3021,BT_2953,L-rhamnose-proton symporter,NA,NA,NA,NA
3022,BT_2954,conserved hypothetical protein,NA,NA,NA,NA
3023,BT_2955,formate acetyltransferase 2,NA,NA,COG1882,Energy production and conversion
3024,BT_2956,putative pyruvate formate-lyase 3 activating enzyme,K04069,1.97.1.4,COG1180,"Posttranslational modification, protein turnover, chaperones"
3025,BT_2957,transcriptional regulator,K03490,NA,COG2207,Transcription
3026,BT_2958,conserved hypothetical protein,NA,NA,NA,NA
3027,BT_2959,glycosyl hydrolase family 43 protein,NA,NA,COG3507,Carbohydrate transport and metabolism
3028,BT_2960,hypothetical protein,NA,NA,NA,NA
3029,BT_2961,putative lipase,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
3030,BT_2962,hypothetical protein,NA,NA,NA,NA
3031,BT_2963,glycosyl hydrolase%2C family 88,NA,NA,COG4225,Carbohydrate transport and metabolism
3032,BT_2964,chondroitinase AC precursor,K19049,4.2.2.5,NA,NA
3033,BT_2965,conserved hypothetical protein,NA,NA,NA,NA
3034,BT_2966,Galactose-binding like protein,NA,NA,NA,NA
3035,BT_2967,SusD homolog,NA,NA,NA,NA
3036,BT_2968,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
3037,BT_2969,beta-galactosidase,K01190,3.2.1.23,COG3250,Carbohydrate transport and metabolism
3038,BT_2970,alpha-L-fucosidase precursor,NA,NA,COG3669,Carbohydrate transport and metabolism
3039,BT_2971,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
3040,BT_2972,putative methyltransferase,NA,NA,COG2226,Coenzyme transport and metabolism
3041,BT_2973,transcriptional regulator,K13652,NA,COG2207,Transcription
3042,BT_2974,hypothetical protein,NA,NA,NA,NA
3043,BT_2975,putative nicotinate mononucleotide:5%2C6-dimethylbenzimidazole phosphoribosyltransferase,K12410,2.3.1.286,COG0846,"Posttranslational modification, protein turnover, chaperones"
3044,BT_2976,FKBP-type peptidyl-prolyl cis-trans isomerase%2C outer membrane protein precursor,K03773,5.2.1.8,COG0545,"Posttranslational modification, protein turnover, chaperones"
3045,BT_2977,peptidylprolyl isomerase,NA,NA,COG0545,"Posttranslational modification, protein turnover, chaperones"
3046,BT_2978,transcriptional regulator,K03718,NA,COG1522,Transcription
3047,BT_2979,conserved hypothetical protein%2C putative membrane protein,NA,NA,NA,NA
